iter	Passed	Remaining
414	3330	4695
415	3338	4686
416	3346	4678
417	3353	4669
418	3361	4661
419	3368	4651
420	3375	4642
421	3382	4633
422	3389	4623
423	3396	4614
424	3404	4606
425	3412	4598
426	3420	4590
427	3429	4583
428	3436	4574
429	3444	4566
430	3453	4559
431	3461	4550
432	3469	4543
433	3477	4535
434	3485	4527
435	3493	4519
436	3501	4511
437	3509	4503
438	3517	4495
439	3525	4486
440	3533	4478
441	3541	4470
442	3549	4462
443	3557	4454
444	3569	4452
445	3576	4443
446	3585	4435
447	3593	4427
448	3602	4420
449	3610	4412
450	3618	4405
451	3626	4396
452	3634	4389
453	3642	4380
454	3650	4372
455	3658	4364
456	3667	4357
457	3675	4349
458	3683	4341
459	3691	4333
460	3699	4325
461	3706	4316
462	3713	4307
463	3720	4298
464	3727	4288
465	3734	4278
466	3740	4269
467	3747	4260
468	3754	4251
469	3762	4242
470	3770	4234
471	3778	4226
472	3785	4217
473	3792	4208
474	3802	4202
475	3810	4194
476	3818	4186
477	3827	4179
478	3834	4170
479	3841	4161
480	3849	4153
481	3856	4144
482	3864	4136
483	3872	4128
484	3880	4120
485	3889	4113
486	3898	4106
487	3905	4098
488	3913	4090
489	3925	4085
490	3934	4078
491	3941	4069
492	3950	4062
493	3958	4055
494	3967	4047
495	3975	4039
496	3984	4032
497	3992	4024
498	4002	4018
499	4009	4009
500	4028	4012
501	4035	4003
502	4048	4000
503	4055	3991
504	4063	3982
505	4070	3974
506	4078	3966
507	4086	3957
508	4093	3949
509	4101	3940
510	4109	3932
511	4124	3931
512	4133	3924
513	4141	3916
514	4149	3908
515	4159	3901
516	4167	3893
517	4176	3885
518	4185	3878
519	4193	3871
520	4201	3863
521	4209	3854
522	4217	3846
523	4225	3838
524	4232	3829
525	4240	3821
526	4249	3813
527	4257	3805
528	4266	3798
529	4274	3790
530	4286	3785
531	4294	3777
532	4302	3769
533	4311	3762
534	4319	3754
535	4328	3746
536	4335	3738
537	4343	3729
538	4351	3721
539	4360	3714
540	4368	3705
541	4376	3698
542	4383	3689
543	4391	3681
544	4399	3673
545	4407	3664
546	4415	3656
547	4424	3649
548	4433	3641
549	4440	3633
550	4449	3625
551	4457	3618
552	4465	3609
553	4474	3601
554	4481	3593
555	4489	3585
556	4497	3577
557	4505	3568
558	4513	3560
559	4524	3555
560	4531	3545
561	4538	3537
562	4546	3528
563	4554	3521
564	4563	3513
565	4571	3505
566	4580	3497
567	4588	3489
568	4596	3481
569	4603	3472
570	4610	3464
571	4618	3455
572	4625	3447
573	4633	3438
574	4640	3429
575	4647	3421
576	4654	3412
577	4661	3403
578	4669	3395
579	4677	3386
580	4685	3378
581	4693	3370
582	4700	3362
583	4708	3354
584	4718	3347
585	4726	3339
586	4734	3331
587	4743	3324
588	4752	3316
589	4764	3310
590	4772	3302
591	4781	3295
592	4790	3287
593	4798	3279
594	4805	3270
595	4812	3261
596	4819	3253
597	4826	3244
598	4833	3235
599	4840	3226
600	4848	3218
601	4856	3210
602	4864	3202
603	4871	3194
604	4879	3185
605	4886	3177
606	4894	3168
607	4901	3160
608	4909	3152
609	4917	3143
610	4923	3134
611	4930	3125
612	4937	3117
613	4944	3108
614	4951	3099
615	4958	3090
616	4965	3082
617	4973	3073
618	4980	3065
619	4986	3056
620	4994	3047
621	5003	3040
622	5012	3033
623	5019	3024
624	5027	3016
625	5035	3008
626	5043	3000
627	5052	2992
628	5060	2984
629	5068	2976
630	5076	2968
631	5083	2960
632	5091	2952
633	5099	2943
634	5107	2935
635	5115	2927
636	5124	2919
637	5131	2911
638	5138	2902
639	5145	2894
640	5153	2886
641	5159	2877
642	5167	2868
643	5173	2860
644	5182	2852
645	5189	2843
646	5196	2835
647	5210	2830
648	5218	2822
649	5225	2813
650	5232	2805
651	5242	2798
652	5249	2789
653	5256	2781
654	5264	2772
655	5271	2764
656	5278	2755
657	5286	2747
658	5293	2739
659	5301	2730
660	5309	2723
661	5317	2714
662	5325	2706
663	5332	2698
664	5341	2690
665	5349	2682
666	5356	2674
667	5364	2666
668	5371	2657
669	5379	2649
670	5388	2641
671	5396	2633
672	5403	2625
673	5410	2617
674	5417	2608
675	5425	2600
676	5431	2591
677	5438	2583
678	5445	2574
679	5453	2566
680	5460	2557
681	5468	2549
682	5476	2541
683	5488	2535
684	5495	2527
685	5503	2519
686	5511	2511
687	5519	2503
688	5527	2494
689	5535	2486
690	5543	2478
691	5551	2470
692	5559	2462
693	5567	2455
694	5576	2447
695	5584	2439
696	5592	2431
697	5600	2423
698	5607	2414
699	5615	2406
700	5622	2398
701	5628	2389
702	5635	2381
703	5644	2373
704	5652	2365
705	5660	2357
706	5670	2349
707	5678	2342
708	5687	2334
709	5697	2327
710	5705	2319
711	5714	2311
712	5726	2305
713	5735	2297
714	5743	2289
715	5751	2281
716	5758	2273
717	5767	2265
718	5774	2256
719	5781	2248
720	5789	2240
721	5796	2231
722	5804	2223
723	5811	2215
724	5818	2207
725	5826	2198
726	5833	2190
727	5842	2182
728	5851	2175
729	5860	2167
730	5869	2159
731	5877	2151
732	5883	2143
733	5890	2134
734	5897	2126
735	5903	2117
