iter	MultiClass
0	1.086479506
1	1.075165654
2	1.065833641
3	1.055123585
4	1.045794345
5	1.038990978
6	1.032135718
7	1.026098175
8	1.019977961
9	1.014995716
10	1.010733879
11	1.006416463
12	1.003009018
13	0.9985127784
14	0.9944674634
15	0.9910731387
16	0.9875849014
17	0.9834281966
18	0.9807546303
19	0.9788204485
20	0.9761694168
21	0.973830199
22	0.9714003288
23	0.9695513106
24	0.9668915309
25	0.9639223474
26	0.9612220369
27	0.9587871572
28	0.957188182
29	0.95444886
30	0.952798646
31	0.9498697977
32	0.9477604525
33	0.9456576286
34	0.9440430971
35	0.9425407196
36	0.940661207
37	0.9381358741
38	0.9362962334
39	0.9333238963
40	0.9308365941
41	0.9292505857
42	0.9274727745
43	0.9255150928
44	0.9240345739
45	0.9226549354
46	0.9213367338
47	0.9200096333
48	0.9182801358
49	0.9168521092
50	0.9156744504
51	0.9143123323
52	0.9132194287
53	0.9108364292
54	0.9088836849
55	0.9079472894
56	0.9060440766
57	0.9050270307
58	0.9038872305
59	0.9023921375
60	0.9017627419
61	0.9007076207
62	0.89931867
63	0.8984490445
64	0.8969171402
65	0.8956459594
66	0.8942991525
67	0.8926491083
68	0.8917356638
69	0.8905233348
70	0.889558907
71	0.888343575
72	0.887109564
73	0.886289255
74	0.8851978379
75	0.8842158078
76	0.8836515293
77	0.8823422097
78	0.8815749404
79	0.8809000632
80	0.8798726247
81	0.878793704
82	0.8780453894
83	0.8769768142
84	0.8763758868
85	0.8755979394
86	0.8745432398
87	0.8732532098
88	0.8722245636
89	0.8715272709
90	0.8707588
91	0.8696583492
92	0.8687691824
93	0.8682349053
94	0.8674412461
95	0.8663764076
96	0.8654377208
97	0.8648158799
98	0.8639683796
99	0.8631173927
100	0.862236895
101	0.8616748281
102	0.8608571848
103	0.8599040807
104	0.8590919956
105	0.8583598545
106	0.8562165355
107	0.855269022
108	0.8540541258
109	0.8535636946
110	0.8530269611
111	0.8521127034
112	0.8513153236
113	0.8508424244
114	0.8501432078
115	0.8493648021
116	0.8485415107
117	0.8480170203
118	0.8472074064
119	0.8466052927
120	0.8460433803
121	0.8453742654
122	0.8443791688
123	0.8435662678
124	0.8425207374
125	0.8418654652
126	0.8413384931
127	0.8407012908
128	0.8400686435
129	0.8391363096
130	0.8381576885
131	0.8374763565
132	0.8368639703
133	0.8360404047
134	0.8349835027
135	0.8343649061
136	0.8336494651
137	0.8332789559
138	0.832574493
139	0.8321035504
140	0.8310816163
141	0.8301155771
142	0.8292517918
143	0.8288110758
144	0.8283947478
145	0.8275817212
146	0.8270045375
147	0.8265256347
148	0.8256486746
149	0.8250691574
150	0.8246219088
151	0.8241845667
152	0.8234895395
153	0.8229312497
154	0.8223407844
155	0.8217438237
156	0.8213997237
157	0.8211056772
158	0.8204870865
159	0.8200616492
160	0.8196879313
161	0.8193046096
162	0.8186312213
163	0.8181705101
164	0.8174695655
165	0.8167449541
166	0.8162077914
167	0.8157488868
168	0.8153499732
169	0.8149635793
170	0.8145006363
171	0.8137422157
172	0.8130129376
173	0.8126195753
174	0.8120748237
175	0.8117326696
176	0.810941747
177	0.8104071865
178	0.8100730151
179	0.8094011382
180	0.808616084
181	0.8079867616
182	0.8077029434
183	0.8070749179
184	0.8060308949
185	0.8054445495
186	0.8047295869
187	0.8041750474
188	0.803735415
189	0.8034709158
190	0.8030015193
191	0.8024791828
192	0.801871996
193	0.8016166311
194	0.8012480316
195	0.8006918788
196	0.8000825579
197	0.7997417466
198	0.7992637806
199	0.7988333763
200	0.7978781974
201	0.7976074582
202	0.7970127366
203	0.7963989735
204	0.7958553374
205	0.7955336638
206	0.7947015011
207	0.7942172698
208	0.7938389566
209	0.7935290087
210	0.793168906
211	0.7926323922
212	0.7921604967
213	0.7917725504
214	0.7915172433
215	0.7908682997
216	0.7904485696
217	0.7899030379
218	0.7896106488
219	0.7892486502
220	0.788487297
221	0.7878697466
222	0.7873737612
223	0.7868365523
224	0.7863817119
225	0.7861278821
226	0.7855685166
227	0.7853898899
228	0.7848981439
229	0.7845047567
230	0.7841815596
231	0.7834950837
232	0.7831736602
233	0.7828529271
234	0.7823213569
235	0.7818596188
236	0.7814507953
237	0.7809892841
238	0.7802710999
239	0.7795960184
240	0.7791962517
241	0.7787609849
242	0.7779840652
243	0.7777202803
244	0.7773322934
245	0.7768863505
246	0.7763788477
247	0.7760369124
248	0.7755939548
249	0.7751555787
250	0.7749238863
251	0.774795844
252	0.7744688012
253	0.7741667262
254	0.7737535314
255	0.7727719734
256	0.7724645419
257	0.7721668892
258	0.7718437849
259	0.7715707214
260	0.7713699178
261	0.770594134
262	0.7698489663
263	0.7694177553
264	0.7690750184
265	0.7688042034
266	0.7685240666
267	0.7682722296
268	0.7680535733
269	0.7676900813
270	0.7673595648
271	0.7668656681
272	0.7665604607
273	0.7662531806
274	0.7658655269
275	0.7657055149
276	0.7653669933
277	0.7650023883
278	0.7646875721
279	0.7643266032
280	0.7639605709
281	0.7636739459
282	0.7631748879
283	0.7624979636
284	0.7618709793
285	0.7615203151
286	0.7612364277
287	0.7609153538
288	0.7604218311
289	0.7598866384
290	0.7593127988
291	0.7588444767
292	0.7586558605
293	0.7583145614
294	0.7580165212
295	0.7577359757
296	0.7574232956
297	0.7571098506
298	0.7567619264
299	0.7564963551
300	0.7562534159
301	0.755990891
302	0.7556918109
303	0.7553754837
304	0.7549196818
305	0.7542920951
306	0.7540375344
